Latitud,longitud,IDdepartamento,NOMBDEP,IDPROV,NOMBPROV,IDdistrito,NOMBDIST,POBLACION,FECHA,DAT_POB,PESO
-16.4066583,-71.53845996,04,AREQUIPA,0401,AREQUIPA,040101,AREQUIPA,60711,2020,INEI,607.11
-16.43149162,-71.52347287,04,AREQUIPA,0401,AREQUIPA,040129,JOSE LUIS BUSTAMANTE Y RIVERO,87469,2020,INEI,874.69
-16.35646826,-71.47127855,04,AREQUIPA,0401,AREQUIPA,040110,MIRAFLORES,64560,2020,INEI,645.6
-16.42116882,-71.57624543,04,AREQUIPA,0401,AREQUIPA,040117,SACHACA,26226,2020,INEI,262.26
-16.37538466,-71.46287758,04,AREQUIPA,0401,AREQUIPA,040109,MARIANO MELGAR,65557,2020,INEI,655.57
-12.95649431,-73.71272418,05,AYACUCHO,0505,LA MAR,050510,ANCHIHUAY,4740,2020,INEI,47.4
-12.33947622,-74.38305296,05,AYACUCHO,0504,HUANTA,050411,PUCACOLPA,2797,2020,INEI,27.97
-12.29854211,-74.6327374,09,HUANCAVELICA,0907,TAYACAJA,090720,ANDAYMARCA,2554,2020,INEI,25.54
-13.63885311,-72.6181195,03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,17323,2020,INEI,173.23
-13.50611704,-73.51960203,03,APURIMAC,0306,CHINCHEROS,030605,OCOBAMBA,7200,2020,INEI,72
-13.53604092,-73.12969548,03,APURIMAC,0302,ANDAHUAYLAS,030208,PACOBAMBA,3573,2020,INEI,35.73
-5.066345998,-79.79280968,20,PIURA,2004,MORROPON,200403,CHALACO,8435,2020,INEI,84.35
-4.930631872,-81.07094816,20,PIURA,2005,PAITA,200504,COLAN,16550,2020,INEI,165.5
-4.837484702,-80.96262691,20,PIURA,2005,PAITA,200506,TAMARINDO,5334,2020,INEI,53.34
-4.636962476,-80.00532251,20,PIURA,2002,AYABACA,200207,PAIMAS,10572,2020,INEI,105.72
-4.638348922,-79.84666986,20,PIURA,2002,AYABACA,200205,MONTERO,7025,2020,INEI,70.25
-4.703851835,-81.10818419,20,PIURA,2007,TALARA,200703,LA BREA,13653,2020,INEI,136.53
-4.419973009,-80.50274203,20,PIURA,2006,SULLANA,200604,LANCONES,13852,2020,INEI,138.52
-4.194724994,-81.06424584,20,PIURA,2007,TALARA,200705,LOS ORGANOS,11711,2020,INEI,117.11
-4.889719076,-80.67427785,20,PIURA,2006,SULLANA,200602,BELLAVISTA,40144,2020,INEI,401.44
-18.20002202,-70.43907086,23,TACNA,2301,TACNA,230111,LA YARADA LOS PALOS,6891,2020,INEI,68.91
-13.39770551,-73.55504313,03,APURIMAC,0306,CHINCHEROS,030610,EL PORVENIR,1812,2020,INEI,18.12
-13.45558188,-73.61735308,03,APURIMAC,0306,CHINCHEROS,030609,ROCCHACC,2849,2020,INEI,28.49
-9.707735827,-75.93845031,10,HUANUCO,1001,HUANUCO,100113,SAN PABLO DE PILLAO,8627,2020,INEI,86.27
-8.789676761,-76.5085787,10,HUANUCO,1007,MARAÑON,100705,SANTA ROSA DE ALTO YANAJANCA,2426,2020,INEI,24.26
-6.230898653,-78.56970054,06,CAJAMARCA,0606,CUTERVO,060605,LA RAMADA,4157,2020,INEI,41.57
-10.96519855,-70.64991337,17,MADRE DE DIOS,1703,TAHUAMANU,170301,IÑAPARI,3016,2020,INEI,30.16
-13.39015321,-73.79139384,03,APURIMAC,0306,CHINCHEROS,030611,LOS CHANKAS,1052,2020,INEI,10.52
-15.40622872,-70.12641874,21,PUNO,2111,SAN ROMAN,211105,SAN MIGUEL,66909,2020,INEI,669.09
-16.85746963,-71.87890157,04,AREQUIPA,0407,ISLAY,040701,MOLLENDO,27794,2020,INEI,277.94
-16.92884428,-71.59943815,04,AREQUIPA,0407,ISLAY,040702,COCACHACRA,9186,2020,INEI,91.86
-16.45774176,-71.38285968,04,AREQUIPA,0401,AREQUIPA,040105,CHARACATO,14336,2020,INEI,143.36
-16.83579208,-69.85519746,21,PUNO,2105,EL COLLAO,210504,SANTA ROSA,3699,2020,INEI,36.99
-16.60415099,-69.39887582,21,PUNO,2104,CHUCUITO,210403,HUACULLANI,9648,2020,INEI,96.48
-16.55265397,-69.63347099,21,PUNO,2105,EL COLLAO,210505,CONDURIRI,2701,2020,INEI,27.01
-16.49459845,-69.17794689,21,PUNO,2104,CHUCUITO,210407,ZEPITA,17873,2020,INEI,178.73
-15.89092462,-69.87858151,21,PUNO,2101,PUNO,210106,CHUCUITO,7337,2020,INEI,73.37
-15.31105833,-70.2364696,21,PUNO,2107,LAMPA,210703,CALAPUJA,1703,2020,INEI,17.03
-15.24069722,-70.17770005,21,PUNO,2102,AZANGARO,210202,ACHAYA,2993,2020,INEI,29.93
-15.30282511,-70.09432792,21,PUNO,2102,AZANGARO,210205,CAMINACA,3120,2020,INEI,31.2
-14.57433969,-70.81201906,21,PUNO,2108,MELGAR,210808,SANTA ROSA,6461,2020,INEI,64.61
-15.88079487,-70.40861703,21,PUNO,2101,PUNO,210109,MAÑAZO,5358,2020,INEI,53.58
-15.60145928,-70.78455367,21,PUNO,2107,LAMPA,210709,SANTA LUCIA,7567,2020,INEI,75.67
-15.62161829,-69.99779894,21,PUNO,2101,PUNO,210108,HUATA,3315,2020,INEI,33.15
-15.46754705,-70.70475578,21,PUNO,2107,LAMPA,210707,PARATIA,2926,2020,INEI,29.26
-15.44091938,-69.98966611,21,PUNO,2106,HUANCANE,210605,PUSI,5294,2020,INEI,52.94
-15.13800593,-69.60950268,21,PUNO,2106,HUANCANE,210608,VILQUE CHICO,7648,2020,INEI,76.48
-15.10627759,-69.95196754,21,PUNO,2102,AZANGARO,210206,CHUPA,6786,2020,INEI,67.86
-15.0834053,-70.25035201,21,PUNO,2102,AZANGARO,210214,SANTIAGO DE PUPUJA,4703,2020,INEI,47.03
-15.07946833,-70.45052782,21,PUNO,2107,LAMPA,210708,PUCARA,5551,2020,INEI,55.51
-15.000797,-70.12618909,21,PUNO,2102,AZANGARO,210213,SAN JUAN DE SALINAS,3074,2020,INEI,30.74
-14.87857701,-70.74898534,21,PUNO,2108,MELGAR,210809,UMACHIRI,3922,2020,INEI,39.22
-14.89009646,-70.89425926,21,PUNO,2108,MELGAR,210803,CUPI,2134,2020,INEI,21.34
-14.41643633,-70.09218905,21,PUNO,2102,AZANGARO,210209,POTONI,4145,2020,INEI,41.45
-14.35464635,-70.38414063,21,PUNO,2108,MELGAR,210802,ANTAUTA,5663,2020,INEI,56.63
-14.33638332,-69.92891435,21,PUNO,2103,CARABAYA,210306,CRUCERO,9912,2020,INEI,99.12
-14.14077546,-69.93830786,21,PUNO,2103,CARABAYA,210310,USICAYOS,9370,2020,INEI,93.7
-15.42682914,-71.93601226,04,AREQUIPA,0405,CAYLLOMA,040516,TAPAY,815,2020,INEI,8.15
-8.263448542,-78.004851,02,ANCASH,0215,PALLASCA,021508,PALLASCA,2592,2020,INEI,25.92
-8.446069216,-78.05556827,02,ANCASH,0215,PALLASCA,021511,TAUCA,2933,2020,INEI,29.33
-8.790369384,-77.50652627,02,ANCASH,0216,POMABAMBA,021601,POMABAMBA,15217,2020,INEI,152.17
-9.216587837,-76.64438639,10,HUANUCO,1005,HUAMALIES,100505,JIRCAN,1470,2020,INEI,14.7
-8.604817728,-77.17305637,10,HUANUCO,1007,MARAÑON,100701,HUACRACHUCO,15267,2020,INEI,152.67
-8.768786382,-77.14803333,10,HUANUCO,1007,MARAÑON,100703,SAN BUENAVENTURA,2193,2020,INEI,21.93
-11.12762349,-75.62573068,12,JUNIN,1207,TARMA,120704,HUASAHUASI,11065,2020,INEI,110.65
-11.03277698,-75.35644549,12,JUNIN,1203,CHANCHAMAYO,120301,CHANCHAMAYO,29354,2020,INEI,293.54
-9.218430396,-77.04174042,02,ANCASH,0203,ANTONIO RAYMONDI,020306,SAN JUAN DE RONTOY,1234,2020,INEI,12.34
-9.205581441,-77.39759835,02,ANCASH,0204,ASUNCION,020401,CHACAS,4977,2020,INEI,49.77
-9.097208618,-77.40574774,02,ANCASH,0204,ASUNCION,020402,ACOCHACA,3115,2020,INEI,31.15
-9.097163461,-77.29096154,02,ANCASH,0207,CARLOS FERMIN FITZCARRALD,020701,SAN LUIS,11472,2020,INEI,114.72
-10.44015703,-77.3586726,02,ANCASH,0214,OCROS,021410,SANTIAGO DE CHILCAS,446,2020,INEI,4.46
-10.10803704,-77.58748704,02,ANCASH,0217,RECUAY,021705,LLACLLIN,946,2020,INEI,9.46
-10.09408305,-77.37323438,02,ANCASH,0217,RECUAY,021707,PAMPAS CHICO,966,2020,INEI,9.66
-9.17748905,-77.75896537,02,ANCASH,0220,YUNGAY,022004,MATACOTO,1540,2020,INEI,15.4
-9.316865854,-77.94903144,02,ANCASH,0220,YUNGAY,022005,QUILLO,13254,2020,INEI,132.54
-9.160101589,-77.69667203,02,ANCASH,0220,YUNGAY,022006,RANRAHIRCA,2988,2020,INEI,29.88
-9.344445042,-77.78949854,02,ANCASH,0220,YUNGAY,022007,SHUPLUY,2001,2020,INEI,20.01
-8.787924915,-77.91748366,02,ANCASH,0212,HUAYLAS,021202,HUALLANCA,1096,2020,INEI,10.96
-9.03006908,-77.87658249,02,ANCASH,0212,HUAYLAS,021203,HUATA,1448,2020,INEI,14.48
-8.958028255,-77.89096536,02,ANCASH,0212,HUAYLAS,021205,MATO,2027,2020,INEI,20.27
-9.007665322,-77.25643537,02,ANCASH,0207,CARLOS FERMIN FITZCARRALD,020703,YAUYA,4441,2020,INEI,44.41
-8.908671136,-77.72257185,02,ANCASH,0212,HUAYLAS,021208,SANTA CRUZ,4734,2020,INEI,47.34
-8.846397921,-77.95249536,02,ANCASH,0212,HUAYLAS,021209,SANTO TORIBIO,1151,2020,INEI,11.51
-8.886066258,-77.22034377,02,ANCASH,0213,MARISCAL LUZURIAGA,021303,ELEAZAR GUZMAN BARRON,1412,2020,INEI,14.12
-8.967480879,-77.45637337,02,ANCASH,0213,MARISCAL LUZURIAGA,021306,LLUMPA,6394,2020,INEI,63.94
-8.925151898,-77.44517902,02,ANCASH,0213,MARISCAL LUZURIAGA,021307,LUCMA,2984,2020,INEI,29.84
-9.34392931,-77.43300143,02,ANCASH,0206,CARHUAZ,020608,SAN MIGUEL DE ACO,2557,2020,INEI,25.57
-9.154423044,-77.56471859,02,ANCASH,0206,CARHUAZ,020609,SHILLA,3062,2020,INEI,30.62
-9.258939425,-77.66179692,02,ANCASH,0206,CARHUAZ,020610,TINCO,3731,2020,INEI,37.31
-9.404083394,-77.63092796,02,ANCASH,0206,CARHUAZ,020611,YUNGAR,3349,2020,INEI,33.49
-9.252511046,-76.90467141,02,ANCASH,0210,HUARI,021002,ANRA,1500,2020,INEI,15
-10.38061578,-77.36442466,02,ANCASH,0214,OCROS,021401,OCROS,1324,2020,INEI,13.24
-10.51830391,-77.33945752,02,ANCASH,0214,OCROS,021402,ACAS,708,2020,INEI,7.08
-8.258111062,-77.73064442,02,ANCASH,0215,PALLASCA,021503,CONCHUCOS,8084,2020,INEI,80.84
-8.334568465,-77.9455977,02,ANCASH,0215,PALLASCA,021505,HUANDOVAL,1110,2020,INEI,11.1
-8.515617831,-78.03028801,02,ANCASH,0215,PALLASCA,021507,LLAPO,629,2020,INEI,6.29
-8.992211682,-78.60925435,02,ANCASH,0218,SANTA,021808,SANTA,22213,2020,INEI,222.13
-8.300208554,-77.56074964,02,ANCASH,0219,SIHUAS,021902,ACOBAMBA,1740,2020,INEI,17.4
-8.512134395,-77.53005438,02,ANCASH,0219,SIHUAS,021906,HUAYLLABAMBA,3865,2020,INEI,38.65
-8.454796818,-77.69603119,02,ANCASH,0219,SIHUAS,021908,RAGASH,2521,2020,INEI,25.21
-8.671637206,-77.62047677,02,ANCASH,0219,SIHUAS,021909,SAN JUAN,6942,2020,INEI,69.42
-8.630532178,-77.52928401,02,ANCASH,0219,SIHUAS,021910,SICSIBAMBA,1583,2020,INEI,15.83
-10.78231145,-77.26775784,15,LIMA,1508,HUAURA,150802,AMBAR,2459,2020,INEI,24.59
-10.6216407,-76.99191087,15,LIMA,1503,CAJATAMBO,150303,GORGOR,1913,2020,INEI,19.13
-6.95042146,-79.84695875,14,LAMBAYEQUE,1401,CHICLAYO,140104,ETEN PUERTO,2513,2020,INEI,25.13
-6.118082149,-78.67711091,06,CAJAMARCA,0606,CUTERVO,060613,SANTO TOMAS,7783,2020,INEI,77.83
-6.570580995,-78.18705831,06,CAJAMARCA,0603,CELENDIN,060302,CHUMUCH,2798,2020,INEI,27.98
-6.337965501,-78.57580463,06,CAJAMARCA,0604,CHOTA,060402,ANGUIA,3415,2020,INEI,34.15
-6.483027898,-78.85225872,06,CAJAMARCA,0604,CHOTA,060407,COCHABAMBA,5948,2020,INEI,59.48
-6.804278025,-78.73384568,06,CAJAMARCA,0611,SAN MIGUEL,061104,CATILLUC,2937,2020,INEI,29.37
-6.664009139,-78.80972237,06,CAJAMARCA,0613,SANTA CRUZ,061302,ANDABAMBA,1338,2020,INEI,13.38
-5.096552677,-78.71529589,06,CAJAMARCA,0609,SAN IGNACIO,060903,HUARANGO,19348,2020,INEI,193.48
-4.916065528,-78.83187168,06,CAJAMARCA,0609,SAN IGNACIO,060906,SAN JOSE DE LOURDES,19982,2020,INEI,199.82
-5.625690472,-79.31242939,06,CAJAMARCA,0608,JAEN,060809,SALLIQUE,7706,2020,INEI,77.06
-5.875409992,-79.19502565,06,CAJAMARCA,0608,JAEN,060807,POMAHUACA,9298,2020,INEI,92.98
-5.901060805,-78.97945481,06,CAJAMARCA,0608,JAEN,060804,COLASAY,10794,2020,INEI,107.94
-5.92462141,-78.77344477,06,CAJAMARCA,0606,CUTERVO,060603,CHOROS,3342,2020,INEI,33.42
-3.671745122,-80.56640107,24,TUMBES,2401,TUMBES,240103,LA CRUZ,10559,2020,INEI,105.59
-3.851749084,-80.35635802,24,TUMBES,2401,TUMBES,240104,PAMPAS DE HOSPITAL,7724,2020,INEI,77.24
-3.658590912,-80.36291888,24,TUMBES,2401,TUMBES,240106,SAN JUAN DE LA VIRGEN,4983,2020,INEI,49.83
-4.033834693,-80.65927502,24,TUMBES,2402,CONTRALMIRANTE VILLAR,240202,CASITAS,2778,2020,INEI,27.78
-3.767626939,-80.22853961,24,TUMBES,2403,ZARUMILLA,240303,MATAPALO,3621,2020,INEI,36.21
-6.106339827,-78.84144595,06,CAJAMARCA,0606,CUTERVO,060611,SANTA CRUZ,2801,2020,INEI,28.01
-6.37006436,-78.36904224,06,CAJAMARCA,0604,CHOTA,060406,CHOROPAMPA,2502,2020,INEI,25.02
-6.539017699,-79.17290587,06,CAJAMARCA,0604,CHOTA,060411,LLAMA,7438,2020,INEI,74.38
-6.357827347,-79.30263684,06,CAJAMARCA,0604,CHOTA,060412,MIRACOSTA,3374,2020,INEI,33.74
-6.533927079,-78.39807866,06,CAJAMARCA,0604,CHOTA,060413,PACCHA,4750,2020,INEI,47.5
-6.352215883,-79.09294473,06,CAJAMARCA,0604,CHOTA,060415,QUEROCOTO,8881,2020,INEI,88.81
-6.484364326,-79.24551868,06,CAJAMARCA,0604,CHOTA,060416,SAN JUAN DE LICUPIS,943,2020,INEI,9.43
-6.620916571,-78.85937918,06,CAJAMARCA,0613,SANTA CRUZ,061305,LA ESPERANZA,2356,2020,INEI,23.56
-12.05105543,-77.04903773,15,LIMA,1501,LIMA,150101,LIMA,293647,2020,INEI,2936.47
-12.12079339,-77.02908841,15,LIMA,1501,LIMA,150122,MIRAFLORES,114188,2020,INEI,1141.88
-12.09457817,-77.06701479,15,LIMA,1501,LIMA,150120,MAGDALENA DEL MAR,67156,2020,INEI,671.56
-12.07410485,-76.99729845,15,LIMA,1501,LIMA,150134,SAN LUIS,59084,2020,INEI,590.84
-12.04323558,-76.96325301,15,LIMA,1501,LIMA,150137,SANTA ANITA,221039,2020,INEI,2210.39
-12.11340137,-77.0129896,15,LIMA,1501,LIMA,150141,SURQUILLO,105715,2020,INEI,1057.15
-12.05914411,-77.05063665,15,LIMA,1501,LIMA,150105,BREÑA,97431,2020,INEI,974.31
-11.80488662,-77.16332166,15,LIMA,1501,LIMA,150139,SANTA ROSA,29860,2020,INEI,298.6
-9.95024018,-76.18822506,10,HUANUCO,1001,HUANUCO,100102,AMARILIS,85724,2020,INEI,857.24
-9.955819511,-76.44014374,10,HUANUCO,1001,HUANUCO,100110,YARUMAYO,1562,2020,INEI,15.62
-9.869240389,-76.42080606,10,HUANUCO,1001,HUANUCO,100106,QUISQUI (KICHKI),3681,2020,INEI,36.81
-9.691975191,-76.8307409,10,HUANUCO,1003,DOS DE MAYO,100313,PACHAS,5675,2020,INEI,56.75
-10.29893229,-76.6375887,10,HUANUCO,1010,LAURICOCHA,101007,SAN MIGUEL DE CAURI,6353,2020,INEI,63.53
-9.714660423,-76.73153472,10,HUANUCO,1003,DOS DE MAYO,100323,YANAS,2320,2020,INEI,23.2
-10.06323654,-76.53319008,10,HUANUCO,1001,HUANUCO,100105,MARGOS,4573,2020,INEI,45.73
-10.04868412,-76.20959432,10,HUANUCO,1002,AMBO,100204,CONCHAMARCA,4677,2020,INEI,46.77
-10.33239011,-76.28733136,10,HUANUCO,1002,AMBO,100206,SAN FRANCISCO,1596,2020,INEI,15.96
-10.06487436,-76.17914646,10,HUANUCO,1002,AMBO,100208,TOMAY KICHWA,3521,2020,INEI,35.21
-9.907891708,-76.7946952,10,HUANUCO,1003,DOS DE MAYO,100301,LA UNION,6989,2020,INEI,69.89
-9.99639121,-76.05807746,10,HUANUCO,1008,PACHITEA,100803,MOLINO,11314,2020,INEI,113.14
-9.808069578,-76.551288,10,HUANUCO,1011,YAROWILCA,101101,CHAVINILLO,4921,2020,INEI,49.21
-9.449630786,-76.87103738,10,HUANUCO,1005,HUAMALIES,100506,MIRAFLORES,3200,2020,INEI,32
-9.634363837,-75.46653863,10,HUANUCO,1009,PUERTO INCA,100902,CODO DEL POZUZO,7929,2020,INEI,79.29
-8.847417922,-77.10775722,10,HUANUCO,1004,HUACAYBAMBA,100402,CANCHABAMBA,2762,2020,INEI,27.62
-9.097574285,-76.62639119,10,HUANUCO,1004,HUACAYBAMBA,100403,COCHABAMBA,1643,2020,INEI,16.43
-8.658133635,-76.74104765,10,HUANUCO,1007,MARAÑON,100702,CHOLON,5929,2020,INEI,59.29
-7.04088987,-75.29983098,16,LORETO,1606,UCAYALI,160602,INAHUAYA,1844,2020,INEI,18.44
-13.59819147,-73.30929084,03,APURIMAC,0302,ANDAHUAYLAS,030209,PACUCHA,8585,2020,INEI,85.85
-14.23772167,-72.0146324,08,CUSCO,0807,CHUMBIVILCAS,080704,COLQUEMARCA,7570,2020,INEI,75.7
-14.46234825,-72.23649132,08,CUSCO,0807,CHUMBIVILCAS,080706,LLUSCO,4781,2020,INEI,47.81
-14.37723065,-72.20523904,08,CUSCO,0807,CHUMBIVILCAS,080707,QUIÑOTA,4185,2020,INEI,41.85
-14.55234396,-71.2911718,08,CUSCO,0805,CANAS,080503,KUNTURKANKI,5345,2020,INEI,53.45
-14.38534011,-71.29740196,08,CUSCO,0805,CANAS,080504,LANGUI,2223,2020,INEI,22.23
-14.15101136,-71.52705235,08,CUSCO,0805,CANAS,080508,TUPAC AMARU,2737,2020,INEI,27.37
-14.0470704,-71.50646592,08,CUSCO,0802,ACOMAYO,080202,ACOPIA,2987,2020,INEI,29.87
-14.10061615,-71.47894112,08,CUSCO,0802,ACOMAYO,080204,MOSOC LLACTA,1214,2020,INEI,12.14
-14.65079696,-72.20870689,08,CUSCO,0807,CHUMBIVILCAS,080701,SANTO TOMAS,23837,2020,INEI,238.37
-15.26002857,-73.4594918,05,AYACUCHO,0508,PAUCAR DEL SARA SARA,050810,SARA SARA,493,2020,INEI,4.93
-15.2235445,-73.19613245,05,AYACUCHO,0508,PAUCAR DEL SARA SARA,050809,SAN JOSE DE USHUA,225,2020,INEI,2.25
-15.2057223,-73.45231325,05,AYACUCHO,0508,PAUCAR DEL SARA SARA,050807,PARARCA,410,2020,INEI,4.1
-15.04820957,-73.29438826,05,AYACUCHO,0508,PAUCAR DEL SARA SARA,050808,SAN JAVIER DE ALPABAMBA,285,2020,INEI,2.85
-15.09172595,-73.37915888,05,AYACUCHO,0508,PAUCAR DEL SARA SARA,050805,MARCABAMBA,614,2020,INEI,6.14
-13.98327064,-73.71776385,05,AYACUCHO,0509,SUCRE,050909,SAN SALVADOR DE QUIJE,1043,2020,INEI,10.43
-11.24733246,-76.86383246,15,LIMA,1506,HUARAL,150607,LAMPIAN,390,2020,INEI,3.9
-11.29297049,-76.76750344,15,LIMA,1506,HUARAL,150609,SAN MIGUEL DE ACOS,731,2020,INEI,7.31
-11.14701877,-76.56552186,15,LIMA,1506,HUARAL,150610,SANTA CRUZ DE ANDAMARCA,913,2020,INEI,9.13
-13.0090799,-75.82556318,15,LIMA,1510,YAUYOS,151005,AZANGARO,477,2020,INEI,4.77
-12.3558661,-75.88164012,15,LIMA,1510,YAUYOS,151007,CARANIA,181,2020,INEI,1.81
-12.35429549,-76.19059887,15,LIMA,1510,YAUYOS,151013,HUAMPARA,170,2020,INEI,1.7
-12.09036503,-75.83480018,15,LIMA,1510,YAUYOS,151014,HUANCAYA,641,2020,INEI,6.41
-12.51306806,-75.70407842,15,LIMA,1510,YAUYOS,151016,HUANTAN,1007,2020,INEI,10.07
-12.38449007,-75.67619131,15,LIMA,1510,YAUYOS,151018,LARAOS,673,2020,INEI,6.73
-12.23464186,-75.88921587,15,LIMA,1510,YAUYOS,151021,MIRAFLORES,265,2020,INEI,2.65
-12.47630306,-76.2507972,15,LIMA,1510,YAUYOS,151022,OMAS,729,2020,INEI,7.29
-12.35063816,-76.28431739,15,LIMA,1510,YAUYOS,151025,QUINOCAY,511,2020,INEI,5.11
-12.49298324,-76.18609335,15,LIMA,1510,YAUYOS,151027,SAN PEDRO DE PILAS,335,2020,INEI,3.35
-12.16953869,-75.85742054,15,LIMA,1510,YAUYOS,151033,VITIS,373,2020,INEI,3.73
-11.87915492,-77.13087433,07,CALLAO,0701,CALLAO,070106,VENTANILLA,347244,2020,INEI,3472.44
-13.53321682,-71.92576226,08,CUSCO,0801,CUSCO,080105,SAN SEBASTIAN,124705,2020,INEI,1247.05
-12.04282117,-77.09049436,07,CALLAO,0701,CALLAO,070103,CARMEN DE LA LEGUA REYNOSO,48492,2020,INEI,484.92
-12.01653505,-77.12162923,07,CALLAO,0701,CALLAO,070101,CALLAO,521346,2020,INEI,5213.46
-12.05999971,-77.10994618,07,CALLAO,0701,CALLAO,070102,BELLAVISTA,87471,2020,INEI,874.71
-13.42688985,-76.16284275,11,ICA,1102,CHINCHA,110210,SUNAMPE,33092,2020,INEI,330.92
-13.25845528,-76.0888847,11,ICA,1102,CHINCHA,110207,PUEBLO NUEVO,73095,2020,INEI,730.95
-12.15782036,-76.96652384,15,LIMA,1501,LIMA,150133,SAN JUAN DE MIRAFLORES,421017,2020,INEI,4210.17
-12.12722618,-76.98451881,15,LIMA,1501,LIMA,150140,SANTIAGO DE SURCO,410587,2020,INEI,4105.87
-12.21917489,-76.94544131,15,LIMA,1501,LIMA,150142,VILLA EL SALVADOR,429509,2020,INEI,4295.09
-12.04012476,-76.98754193,15,LIMA,1501,LIMA,150111,EL AGUSTINO,220858,2020,INEI,2208.58
-11.97251865,-77.07437769,15,LIMA,1501,LIMA,150117,LOS OLIVOS,362222,2020,INEI,3622.22
-8.60481091,-78.0468559,02,ANCASH,0209,CORONGO,020903,BAMBAS,474,2020,INEI,4.74
-8.523293931,-77.78893289,02,ANCASH,0209,CORONGO,020904,CUSCA,2931,2020,INEI,29.31
-8.678118117,-77.89299305,02,ANCASH,0209,CORONGO,020905,LA PAMPA,1104,2020,INEI,11.04
-8.625091273,-77.84715171,02,ANCASH,0209,CORONGO,020906,YANAC,676,2020,INEI,6.76
-7.142505047,-78.65402852,06,CAJAMARCA,0601,CAJAMARCA,060103,CHETILLA,3942,2020,INEI,39.42
